,utterances
0,Era a dona /  era / a dona casada / ela tinha três filha 
1,", aí /, quando passou uns tempo / ela ganhou / ganhou um menino "
2," ganhou um menino /, aí,/ e falou  ca [/1] ca a Maria Mais velha / – cê vai lá / na horta / apanha / um botão de rosa /  e traz / três molho / três folha de couve "
3, pra poder  fazer / nós fazer na hora do batizado do menino / inteirar com as outra comida 
4,– aí / ela bateu para lá 
5,", aí chegou lá / apanhou / o botão de rosa / quando ela foi para apanhar o molho de couve / o Rei  do / dos Boi veio /, passou a mão nela "
6, foi embora 
7," , aí / ficou  a [/1] a Maria do Meio "
8,– ô minha irmã / ma [/1] &he / vai lá na [/1] na horta apanha o molho de couve e o botão de rosa / que sua irmã tiver lá cé traz + você  fala com ela para vim embora 
9,"– aí / chegou lá olhou olhou / para todo canto não viu / não viu ela em canto nenhum / aí apanhou / um [/1] o botão de rosas primeiro / quando ela foi para apanhar o molho de couve /, o Rei [/2], o Rei dos Gavião veio / passou a mão nela "
10, cascou fora 
11,", ai / a [/1] a [/1] a [/1] a mãe delas falou /– ô minhas duas filha está demorando /– mandou a  ma [/1] Maria / Caçula ir atrás / – vai lá / que as duas tiver lá fala com elas para vim embora / e ocê traz o botão de rosa com um molho de couve "
12, aí / hhh ela apanhou o botão de rosa quando foi apanhar a couve / veio o Rei dos Peixe / passou a mão nela /cascou fora 
13,", aí roubou todas três "
14,", aí a [/1] a mulher [/2] a velha que quis esteve lá na horta / apanhou a couve com o botão de rosa / veio / fez a comida /, o padrinho mais / a madrinha chegou e batizou o menino /, aí ele [/1] ele foi crescendo / foi crescendo /, pôs ele na escola ele estudou bastante /, aí / já estava grandinho / com sete anos /, aí / saiu / falou /- ô minha mãe / eu  [/1] eu quero conhecer minhas três  filha "
15, minhas três irmã 
16,– ah / meu filho / você num sabe para onde é que elas foi 
17,! – ah / eu vou conhecer elas 
18,"– chegou no caminho / encontrou com um homem / &he / vendendo a bota e chapéu /, aí / ele / ele perguntou / – ô / você quer vender essa / essa bota com esse chapéu /? o homem falou vendo "
19, – aí essa [/1] essa bota com esse chapéu / você entra dentro dela / e fala assim / bota e chapéu 
20, ela leva você em qualquer lugar que você quiser
21," – aí ele entrou nela / na bota / e pôs o &chap [/3] e pôs o chapéu na cabeça /, aí / &quand [/1] quando ele assustou / estávamos chegando lá na casa da irmã mais velha / Maria Mais Véia "
22,", aí ela estava caçando  um / ninho de galinha "
23, ele falou /– ah / ê minha irmã Maria Mais velha 
24, – ah / da onde / eu não tenho irmão não!
25, – ah / você num lembra do &q + eu estava novo / você foi para horta apanhar couve /e num voltou 
26,", – ah / é você / – mandou ele entrar lá para dentro de casa "
27, coou café / deu ele quitanda / fez janta para ele 
28, ele falou /– oh  &m [/1] meu marido quando chega / ele chega dando chifrada por todo canto 
29, olha a parede como que está cavoucada aí oh 
30,", aí quando foi [/1] deu a tarde / vem chegando / metendo o chifre por todo lado "
31,", chegou /e entrou lá para dentro de casa / aí ele  &tava [/1] escondeu ele lá na / atrás da porta lá "
32,", – aqui me cheira sangue real! /– né nada não / leitãozinho assado que eu guardei para você – aí "
33,–aí / me apresentar um irmão meu aquique você faça ele 
34, &he/ ah / não faço ele nada /só &trat [/1] trato ele bem / como trato você 
35,"! aí comeu e bebeu /, aí / perguntou ele que ele  que ele dava [/3] que ele dava notícia da [/1] onde é que era  a casa  da [\1] &he do Rei dos Gavião "
36, o boi / o Boi falou / – oh / num posso dar você notícia não / nós num combina não / nós somos inimigo
37,", &he aí / &he, garrou deu ele &he + , deu para ele acho que /  acho que um anel / anel de ouro "
38,", &he  aí falou/ tirou tirejum  e falou /– bota e chapéu "
